	adjusted_p_values	mean_all	mean_all_other	mean_kmeans_1	pvalues	ratio kmeans_1 to everything
Ufm1	0.9519992775117465	0.7094441040677857	0.7303994313686154	0.6740196222020974	0.8612648891375551	0.9674180376250322
Rbmxl1	0.9519992775117465	0.4216034060335169	0.4056059987420871	0.4486466421690293	0.8613652449609891	1.0306207027185856
Ly6g6e	0.9519992775117465	0.2873627359197974	0.3021997147833825	0.2622811764123084	0.8614944913479379	0.9693453024771131
Psmb3	0.9519992775117465	1.9655561252196163	1.9329584147613794	2.020661778613302	0.8615563902431438	1.0299026959981832
2610507B11Rik	0.9519992775117465	1.2356308619176914	1.2074181849581451	1.2833237205874002	0.8615677116953847	1.034386568048815
Tmem265	0.9520164983606514	0.07331296418666805	0.06832920455396908	0.08173789118480206	0.8617027710437543	1.012551081233833
Maoa	0.9520164983606514	0.7541767706996998	0.7750665611444404	0.7188630773288288	0.8618029342433646	0.9683372527848334
Magt1	0.9520164983606514	1.914375059631782	1.881741792486269	1.9695408207587204	0.861842731059296	1.0304673473873942
Nrd1	0.9520164983606514	1.111247127990634	1.1363712432151831	1.0687754093967539	0.8620082541851856	0.9683595095968904
Hnrnpr	0.9520164983606514	2.6136988931596634	2.5793376307112283	2.6717857892034464	0.862034734939853	1.0258282866916493
Mrps33	0.9520164983606514	2.1969972379254106	2.2279529125310957	2.144667407044372	0.8620852386297463	0.9741986615841252
Aup1	0.9520423523321875	1.0126892132351735	0.987038490676346	1.0560511489893822	0.8621923095901163	1.0347314149357751
Eif1b	0.9520474074469049	0.9628283543948883	0.9387444497867694	1.0035416217086133	0.8622805473247142	1.0334222346472588
1700112J16Rik	0.952144668728026	0.09135769029475457	0.09831911198751386	0.0795895726712805	0.8624523062608516	0.9829470878619779
Hspbap1	0.9522107719469779	0.09712163697933152	0.1044225262655334	0.08477965747170452	0.8625958565906323	0.9822143533596253
Tbccd1	0.9523795470095029	0.11192563733008283	0.11957515392284272	0.09899431166136968	0.8628647913755307	0.9816172749195438
Timm10	0.9523795470095029	0.20390348950776274	0.21849346310149884	0.17923948652787555	0.8629817419692281	0.9677848279352209
Adamts9	0.9523795470095029	0.9144101729093815	0.8940899647317151	0.9487610010192462	0.8630482876088572	1.0288640124310435
Rnf146	0.9523795470095029	0.532206694315905	0.5122444664376962	0.5659523652528771	0.8630835033663447	1.0355153548299616
Dpp9	0.9527880748033881	0.8167016446111575	0.7935556729887242	0.8558293585443186	0.8635520857647423	1.034720798742658
Polr3k	0.9527880748033881	1.2692209396025944	1.2402610000617924	1.3181770278739504	0.8636211767659885	1.0347798885085304
Qrich1	0.9528221992703199	1.6017028226418581	1.6278352690830504	1.5575265441341284	0.8637358354721106	0.973244622379448
Tbc1d10b	0.9528363990649517	0.25844323130581565	0.2725238160958471	0.23464033797028638	0.8638324366566876	0.9702296509924753
Lrp1	0.9529651130849617	0.15129385223203726	0.14144859815134875	0.16793701984462972	0.8640328679095461	1.0232059697967835
Trp53inp2	0.9530167728981418	0.4914041565205873	0.5080974340686945	0.4631845682845012	0.8641634516288159	0.9702188567067428
Sema6a	0.953126857565517	0.12199199926993767	0.11381328002285647	0.13581792942571774	0.8643949726196263	1.019756138481676
Rnf166	0.953126857565517	0.31316629208757957	0.32730775975948473	0.289260477689835	0.8646141187918928	0.9713349961304044
Dapk1	0.953126857565517	1.9730609912281605	2.0036056284705097	1.921426009223237	0.8646172413269428	0.9726396773037344
Mfsd8	0.953126857565517	0.19831639140922472	0.1893166218551895	0.21353028756009382	0.864687406477519	1.0203593099263457
Lmnb1	0.953126857565517	0.08897160519845011	0.09624402146361469	0.07667775865495757	0.8647349894046971	0.9821515443408907
Gm2986	0.953126857565517	0.04519804835731368	0.04216653435398634	0.05032275060103373	0.8647677504310934	1.0078262120094879
Nmnat3	0.953126857565517	0.13291842998451112	0.12319027179451195	0.14936364978189068	0.8648896331348438	1.0233027107202075
Vangl2	0.953126857565517	0.14282192594653523	0.15095405635719963	0.12907475310945968	0.8649333091457903	0.9809902896411099
Tcp11l2	0.953202462609854	1.7863088731787378	1.7545611682576208	1.8399776124501497	0.86508567959882	1.0310090932729434
Mtrf1	0.9532480184454981	0.08986806137169727	0.08215139631680872	0.102912899916866	0.8652107893254438	1.0191853964895492
Tcerg1	0.9532929431103163	0.7586086446400827	0.7787659434519114	0.7245332109343721	0.8654061453975148	0.9695110350424777
Helq	0.9532929431103163	0.07944452833233387	0.08544998222960797	0.06929245150598957	0.8654191032752792	0.985114440104896
Tmem128	0.9532958504668239	1.3724365157968803	1.3415959055750388	1.4245718330766601	0.8655825201160275	1.0354356305902597
Yrdc	0.9532958504668239	0.36132117717270723	0.3487210941288212	0.3826213175564196	0.8655892814476003	1.025135088029075
Mpdu1	0.9538377444099105	0.28798583236003467	0.30280095212001157	0.26294122514674034	0.8661651362681911	0.9694045917694422
Il11ra1	0.9538837553363433	0.20785428155998242	0.19713422541391193	0.22597628123548258	0.8662907391389375	1.0240925831116376
Zfp512b	0.954199338248916	0.7991809891595184	0.8243855060837225	0.756573353406697	0.8666611915765199	0.9628301406413862
Gm11249	0.9543215553111339	0.123100813283471	0.1271452961092891	0.11626371136363563	0.8668560559974685	0.9903458899369807
Ccdc127	0.9543415775563981	0.6510115285105861	0.6698185764483626	0.6192186617586299	0.8669581044620425	0.9696973579025833
Becn1	0.9543527087285438	0.701021004832656	0.6811813574215572	0.7345594564085607	0.8670520786945882	1.0317503514724133
Pja2	0.9545675780299534	1.522863276516675	1.5536727462351185	1.4707806015164495	0.8674056847261572	0.9675400284390875
Paip2	0.9545675780299534	3.0673959279969276	3.100669405475875	3.0111479065444224	0.8675065951225432	0.9781690523961993
C2cd2	0.9545675780299534	0.10149960037947517	0.10783081835138285	0.09079682714125031	0.8675477378832515	0.9846240139487349
Neu1	0.9545675780299534	0.32608531917062744	0.3121068808570795	0.34971553631972035	0.8675890863125387	1.0286627987485857
