	adjusted_p_values	mean_all	mean_kmeans_0	pvalues	ratio kmeans_0 to kmeans_3
Zbtb25	0.9153534648862842	0.09921546156755183	0.1218043478733621	0.7985619805070949	1.0448137422793207
Ank	0.9153534648862842	0.44280157757042643	0.8101054372262895	0.7988816188279241	0.9370616736663022
Ncaph2	0.9153534648862842	0.8102764383906031	1.058256688631123	0.798996487742459	1.0678958851419127
Arid4a	0.9153534648862842	1.0187326523646814	1.2323641849473368	0.7989986359670452	0.9447132986327246
Tnpo1	0.9153534648862842	1.2754310633539205	1.4092211262861931	0.7990657397024732	1.0652195251799377
Uap1l1	0.9153534648862842	0.30723751936554844	0.4156706805796113	0.7991071274237774	0.9450888123932405
Gm38056	0.9153534648862842	0.07842989292992045	0.13909515140303252	0.799141686770074	0.9749365635419748
B230216N24Rik	0.9153534648862842	0.21304034879725983	0.13135257943468484	0.7992032671564808	0.9622881409351015
Gm5424	0.9153534648862842	0.3849577604715131	0.55489044550529	0.7992049232961441	1.0502259961640619
Got2	0.9153761398777511	0.43739978541034086	0.45820035873856224	0.7993051583449221	1.0571211156925528
1110037F02Rik	0.9159394219870217	0.683959724312883	0.7750697521040008	0.7999533553633753	1.0685015311130812
Tsc1	0.9159394219870217	0.23678189545144024	0.3651804671862547	0.8000327529391925	0.9445083776251074
Tpd52l1	0.9159394219870217	0.16519039841995634	0.2243797470899271	0.8000997591928809	1.0540091115153352
Ppil3	0.9159394219870217	0.5144428936355311	0.6099000345752773	0.800118962563531	1.0680726520108115
Yy1	0.9161612777907705	0.9495132659638869	1.4088778761572063	0.8004629511460648	0.9391180089404255
Mfsd4a	0.9161612777907705	0.6011122080128019	0.6202927396391442	0.8005368566188757	0.9412844477301998
Pspc1	0.9161612777907705	0.062171177041720024	0.04699038990358689	0.8005542835106698	1.0135251571017492
Brf1	0.9162543895399369	0.3294290839945135	0.23153036276319322	0.800765836576835	1.0479721103907644
Hgs	0.9162543895399369	0.606586648199789	0.7436353569095717	0.8009235929932381	1.0670708880540363
Mrpl55	0.9162543895399369	0.5957052213689495	0.735785352035207	0.8009914019533155	0.9403350473321117
Diaph2	0.9162543895399369	0.6263707023543559	0.7772627301225634	0.8010141867198413	0.9369917193487896
Lrrc24	0.9162543895399369	0.1117642009712451	0.21316511338998115	0.8010834448842029	0.9560482186113194
Trove2	0.9162543895399369	1.2085999648990067	1.4412901904124658	0.8011484435181261	0.9355554514273595
Eif4ebp2	0.9162543895399369	0.5396748464546646	0.5745791638541946	0.8012814882885099	1.0688322661121639
Sptlc2	0.9162543895399369	2.1552275776006207	2.128092967736474	0.801297475405648	1.0534020477432666
4921513D11Rik	0.9162543895399369	0.10728845886856837	0.05700423075222728	0.8013602758427937	0.9874448272082827
Ccdc166	0.916595174998335	0.0911496170562126	0.037055391072676934	0.8017388727533767	1.0154726025761047
Acyp2	0.9166435093287614	0.37004530128063934	0.45882639114131835	0.8018971933820315	1.0523053615085896
Oxsr1	0.9166435093287614	0.39008194183884715	0.47928097009745396	0.8021043281255872	1.0649123951793196
Gapvd1	0.9166435093287614	1.8624350354956118	2.218937824746846	0.8021226720659789	1.052808128477052
Rpp21	0.9166435093287614	1.939110733032489	2.929280496008267	0.8021287014123293	1.038077940240114
Myo1b	0.9166435093287614	1.2976122086893929	1.5555382493297112	0.8022095261554842	0.9422019942838117
Bag2	0.9166435093287614	0.4542833739268229	0.736083772439715	0.8022644422596189	1.0764420653658608
