	adjusted_p_values	mean_all	mean_kmeans_0	mean_kmeans_1	pvalues	ratio kmeans_0 to kmeans_1
Tprgl	0.9457742716006938	0.9059428060568653	0.623697758782166	0.5585536327016186	0.8885101346541916	1.041797808374182
Gm43549	0.9457742716006938	0.05375804983315792	0.11767127002782264	0.09623486915734068	0.8885678390545717	1.0195545694390835
Sec24d	0.9459146386478978	0.2461003630445203	0.4026136428652837	0.45432968719542616	0.8887827563382013	0.9644399445425108
Fam84b	0.9459773828600265	2.196342462556452	2.1976950006880225	2.09896197982261	0.8889247569250921	1.0318600297481109
Dgka	0.9466195531810644	0.4759679622296915	0.7714594277418598	0.8495005037536075	0.8896347451013946	0.9578042418191498
Heatr5b	0.9466195531810644	0.12383200039244836	0.2182623455266175	0.18024224588567417	0.8897350958516747	1.032213810150824
Pmm1	0.9466195531810644	0.2302371708336927	0.31804706208672373	0.2763929397168073	0.8898300667993184	1.0326342469264662
Zfp639	0.9466195531810644	0.5591650313756258	0.9464202311751044	0.8749115447362097	0.8899087709875799	1.0381397653876816
Tspyl4	0.9466195531810644	0.09294884844694488	0.07451846564010163	0.061095011368457526	0.8899714475155395	1.0126505676945294
Herpud2	0.9466195531810644	0.8930614896667184	0.939059046452221	1.0083932159362203	0.8900268119189887	0.9654777914335471
9130019O22Rik	0.9467623433826247	0.110371174686486	0.16954349100689783	0.2102962082288054	0.8902441804908519	0.9663283112474205
Filip1l	0.9469501870270867	0.4960323838047843	0.4369452366902326	0.48823354040237876	0.8905258670600095	0.9655374628243635
AI314180	0.9469501870270867	1.112047012181066	1.1188430786392083	1.0389236988821262	0.8906073357108549	1.0391968467485562
1700049G17Rik	0.9469501870270867	0.18207381984520013	0.07403102148056448	0.060772066235685096	0.8906841996313859	1.0124993442671721
Gucd1	0.9469501870270867	0.16545696759814618	0.28574870623997584	0.23874202028277408	0.8907533363177275	1.0379471150469821
Mier3	0.947113082410514	1.84159777363357	1.654105166024084	1.751290444428469	0.8909897103951424	0.9646764744154178
